akira,bigmath,bubble_pop,countingx,picmatch,spelling,story_questions,story_reading,word_copy
7.751,,121.399,,,1.352,,0.288,1.856
7.794,,121.414,,,1.362,,0.289,1.857
7.813,,127.566,,,1.37,,0.29,1.864
7.831,,13.01,,,1.371,,0.291,1.867
7.855,,13.061,,,1.379,,0.292,1.868
7.897,,13.076,,,1.38,,0.293,1.869
7.92,,13.077,,,1.388,,0.294,1.87
7.957,,13.11,,,1.395,,0.295,1.874
8.004,,13.121,,,1.402,,0.296,1.883
8.203,,13.13,,,1.403,,0.297,1.884
8.463,,13.155,,,1.405,,0.298,1.887
8.812,,13.167,,,1.414,,0.299,1.888
9.05,,13.172,,,1.417,,0.3,1.893
9.253,,13.217,,,1.421,,0.301,1.895
,,13.238,,,1.422,,0.302,1.897
,,13.265,,,1.431,,0.303,1.9
,,13.271,,,1.438,,0.304,1.904
,,13.272,,,1.44,,0.305,1.906
,,13.357,,,1.447,,0.306,1.907
,,13.372,,,1.449,,0.307,1.917
,,13.385,,,1.455,,0.308,1.922
,,13.404,,,1.456,,0.309,1.923
,,13.406,,,1.459,,0.31,1.926
,,13.412,,,1.464,,0.311,1.929
,,13.425,,,1.468,,0.312,1.93
,,13.427,,,1.471,,0.313,1.932
,,13.43,,,1.472,,0.314,1.935
,,13.432,,,1.473,,0.315,1.936
,,13.512,,,1.474,,0.316,1.937
,,13.514,,,1.481,,0.317,1.939
,,13.548,,,1.483,,0.318,1.943
,,13.551,,,1.489,,0.319,1.944
,,13.554,,,1.499,,0.32,1.948
,,13.567,,,1.505,,0.321,1.955
,,13.584,,,1.506,,0.322,1.958
,,13.612,,,1.508,,0.323,1.959
,,13.644,,,1.514,,0.324,1.962
,,13.68,,,1.516,,0.325,1.966
,,13.694,,,1.534,,0.326,1.969
,,13.712,,,1.545,,0.327,1.973
,,13.72,,,1.551,,0.328,1.975
,,13.75,,,1.567,,0.329,1.978
,,13.772,,,1.576,,0.33,1.981
,,13.859,,,1.577,,0.331,1.982
,,13.877,,,1.584,,0.332,1.983
,,13.895,,,1.595,,0.333,1.984
,,13.908,,,1.6,,0.334,1.986
,,13.928,,,1.601,,0.335,1.991
,,13.99,,,1.609,,0.336,1.995
,,1354.819,,,1.618,,0.337,1.999
,,138.422,,,1.629,,0.338,10.006
,,14,,,1.635,,0.339,10.017
,,14.025,,,1.644,,0.34,10.022
,,14.04,,,1.652,,0.341,10.028
,,14.057,,,1.66,,0.342,10.029
,,14.107,,,1.661,,0.343,10.031
,,14.141,,,1.666,,0.344,10.032
,,14.189,,,1.722,,0.345,10.034
,,14.223,,,1.728,,0.346,10.037
,,14.251,,,1.736,,0.347,10.038
,,14.264,,,1.737,,0.348,10.045
,,14.277,,,1.74,,0.349,10.049
,,14.285,,,1.747,,0.35,10.052
,,14.323,,,1.748,,0.351,10.06
,,14.339,,,1.752,,0.352,10.064
,,14.416,,,1.771,,0.353,10.065
,,14.437,,,1.772,,0.354,10.066
,,14.441,,,1.782,,0.355,10.071
,,14.473,,,1.783,,0.356,10.072
,,14.541,,,1.784,,0.357,10.077
,,14.544,,,1.785,,0.358,10.079
,,14.568,,,1.789,,0.359,10.086
,,14.573,,,1.796,,0.36,10.091
,,14.577,,,1.806,,0.361,10.093
,,14.586,,,1.812,,0.362,10.094
,,14.603,,,1.816,,0.363,10.102
,,14.606,,,1.822,,0.364,10.105
,,14.619,,,1.832,,0.365,10.109
,,14.631,,,1.835,,0.366,10.116
,,14.637,,,1.839,,0.367,10.118
,,14.656,,,1.849,,0.368,10.121
,,14.675,,,1.875,,0.369,10.122
,,14.749,,,1.882,,0.37,10.126
,,14.761,,,1.892,,0.371,10.136
,,14.766,,,1.908,,0.372,10.158
,,14.778,,,1.909,,0.373,10.159
,,14.782,,,1.925,,0.374,10.16
,,14.785,,,1.927,,0.375,10.161
,,14.815,,,1.942,,0.376,10.163
,,14.893,,,1.958,,0.377,10.165
,,14.917,,,1.959,,0.378,10.183
,,14.984,,,1.961,,0.379,10.185
,,14.999,,,1.967,,0.38,10.199
,,145.835,,,1.969,,0.381,10.209
,,15.008,,,1.975,,0.382,10.219
,,15.06,,,1.981,,0.383,10.236
,,15.094,,,1.983,,0.384,10.248
,,15.124,,,1.985,,0.385,10.266
,,15.14,,,1.986,,0.386,10.285
,,15.171,,,10.178,,0.387,10.302
,,15.185,,,10.296,,0.388,10.31
,,15.216,,,10.376,,0.389,10.314
,,15.233,,,10.451,,0.39,10.315
,,15.245,,,10.518,,0.391,10.318
,,15.281,,,10.557,,0.392,10.319
,,15.29,,,10.567,,0.393,10.325
,,15.337,,,10.602,,0.394,10.326
,,15.392,,,10.614,,0.395,10.334
,,15.418,,,10.629,,0.396,10.338
,,15.422,,,10.714,,0.397,10.349
,,15.451,,,10.74,,0.398,10.354
,,15.468,,,10.816,,0.399,10.355
,,15.514,,,10.848,,0.4,10.358
,,15.552,,,10.866,,0.401,10.361
,,15.553,,,10.946,,0.402,10.371
,,15.576,,,10.978,,0.403,10.373
,,15.586,,,11.014,,0.404,10.378
,,15.588,,,11.035,,0.405,10.392
,,15.605,,,11.037,,0.406,10.395
,,15.623,,,11.104,,0.407,10.41
,,15.657,,,11.453,,0.408,10.42
,,15.729,,,11.499,,0.409,10.422
,,15.748,,,11.607,,0.41,10.426
